review_id,shop,model,sentence,rating,used_days,product_url
r-58809486,thegioididong.com,Điện thoại Xiaomi 15T Pro 5G 12GB/256GB,Dùng từ đời 11T Pro cho tới 15T Pro cảm thấy không hề hối hận chất lượng quá tốt,5,Đã dùng khoảng 1 tháng,https://www.thegioididong.com/dtdd/xiaomi-15t-pro-12gb-256gb
r-58782998,thegioididong.com,Điện thoại Xiaomi 15T Pro 5G 12GB/256GB,"Mua đúng 1 tháng, thừa nhận máy dùng ổn định, cam đẹp, pin không trâu lắm nhưng thừa sức đáp ứng 1 ngày dài làm việc nhiều, nhân viên tư vấn nhiệt tình....nói chung là rất OK.",5,Đã dùng khoảng 1 tháng,https://www.thegioididong.com/dtdd/xiaomi-15t-pro-12gb-256gb
r-58652279,thegioididong.com,Điện thoại Xiaomi 15T Pro 5G 12GB/256GB,"Sài sướng thật,năm ngoái xài Xiaomi 14t pro .năm nay lên đời vẫn sướng.",5,Đã dùng khoảng 1 ngày,https://www.thegioididong.com/dtdd/xiaomi-15t-pro-12gb-256gb
r-58871648,thegioididong.com,Điện thoại Xiaomi 15T 5G 12GB/256GB,"Máy ngon, mượt. Lần đầu dùng xiaomi không nghĩ máy được như vậy. Hy vọng máy bền xài được 4 hay 5 năm",5,Đã dùng khoảng 4 tuần,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-256gb
r-58866003,thegioididong.com,Điện thoại Xiaomi 15T 5G 12GB/256GB,Máy quá tốt tôi đang dùng Ss qua mà máy dùng rất là hay nhân viên hỗ trợ nhiệt tình sẽ ủng hộ sau này,5,Đã dùng khoảng 1 ngày,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-256gb
r-58862708,thegioididong.com,Điện thoại Xiaomi 15T 5G 12GB/256GB,Máy mới mua 2 ngày mà tuột pin quá.,2,Đã dùng khoảng 1 ngày,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-256gb
r-58862344,thegioididong.com,Điện thoại Xiaomi 15T 5G 12GB/256GB,Máy sài ổn... nhưng lúc sạc đt cục sạc bị nóng lên vậy...,3,Đã dùng khoảng 2 tuần,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-256gb
r-58856972,thegioididong.com,Điện thoại Xiaomi 15T 5G 12GB/256GB,Máy để qua đêm sao tuột tầm 15% pin,2,Đã dùng khoảng 2 tuần,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-256gb
r-58849301,thegioididong.com,Điện thoại Xiaomi 15T 5G 12GB/256GB,Tôi đứng hon 1 tháng rồi. Nhìn chung là máy rất ổn. Tuy nhiên tôi nhận thấy mấy bát wifi và phát wifi hoi kem. Tình năng điều khiển mi không sử dụng đc.,4,Đã dùng khoảng 1 tháng,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-256gb
r-58847352,thegioididong.com,Điện thoại Xiaomi 15T 5G 12GB/256GB,"Mẹ ơi đúng ngon luôn,hàng xiaomi mà trên 10 củ nó vẫn là cái gì đó quá đẳng cấp",5,Đã dùng khoảng 1 ngày,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-256gb
r-58834757,thegioididong.com,Điện thoại Xiaomi 15T 5G 12GB/256GB,Đt sài rất tốt mạnh mượt,5,Đã dùng khoảng 2 tuần,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-256gb
r-58797951,thegioididong.com,Điện thoại Xiaomi 15T 5G 12GB/256GB,Quá Vip.chơi game bao ko nóng máy luôn....ngon,5,Đã dùng khoảng 1 tháng,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-256gb
r-58780250,thegioididong.com,Điện thoại Xiaomi 15T 5G 12GB/256GB,"Pin tụt nhanh, loa rè.",1,Đã dùng khoảng 2 tuần,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-256gb
r-58659174,thegioididong.com,Điện thoại Xiaomi 15T 5G 12GB/256GB,"Máy mượt lắm nha mọi người,ok luôn",5,Đã dùng khoảng 1 ngày,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-256gb
r-58874760,thegioididong,Điện thoại iPhone 17 Pro Max 256GB,"Pin trâu, sử dụng nhìu h liền ko nóng máy, mượt",5,Đã dùng khoảng 5 ngày,https://www.thegioididong.com/dtdd/iphone-17-pro-max
r-58861106,thegioididong,Điện thoại iPhone 17 Pro Max 256GB,"Thật sự rất bực mình về cách bảo hành sản phẩm của thế giới di động. Mua ip 17 prm ngày 31/10/2025, về mới dùng 3 ngày thì khi cập nhật phần mềm bị treo táo, không mở nguồn lại được. Đem ra hãng đến hôm nay hơn 10 ngày vẫn không có câu trả lời lỗi từ đâu. Trong khi nếu khách làm rơi hay bể hư thì không nói, lỗi phần mềm rõ ràng từ bên sản xuất và APPLE nhưng vẫn ngâm máy khách hơn 10 ngày, không đổi máy mới cho khách. Các nơi khác như Cellphones hay cửa hàng tư nhân máy lỗi vậy đã đổi liền cho khách trong ngày, một hệ thống lớn mà cách bảo hành sản phẩm quá chậm và tệ. Trong khi ai bỏ ra mấy chục triệu mua máy mới sài bị lỗi vậy mà không tức. Khác gì đem khách hàng ra test dùm máy cho APPLE Có lẽ đây là lần cuối mua hàng tại thế giới di động",1,Đã dùng khoảng 2 tuần,https://www.thegioididong.com/dtdd/iphone-17-pro-max
r-58848291,thegioididong,Điện thoại iPhone 17 Pro Max 256GB,Chính sách bảo hành lỗi 1/1 cực tệ với nhiều lí do vô lí . Trong tháng 1 đỗi 1 mà bắt khách hàng chịu lỗ 20% mới cho đổi.... tạm biệt không bao giờ quay lại,1,Đã dùng khoảng 2 tuần,https://www.thegioididong.com/dtdd/iphone-17-pro-max
r-58847649,thegioididong,Điện thoại iPhone 17 Pro Max 256GB,"Mình mua máy 17 prm mà sao máy lại bản ZP/A , sao ko phải là bản VN/A",3,Đã dùng khoảng 1 ngày,https://www.thegioididong.com/dtdd/iphone-17-pro-max
r-58847469,thegioididong,Điện thoại iPhone 17 Pro Max 256GB,Chào ạ. Mình mua máy được 5 ngày thì phát hiện Loa bị rè. Trường hợp này máy có được 1 đổi 1 không ạ. Cảm ơn,3,Đã dùng khoảng 4 ngày,https://www.thegioididong.com/dtdd/iphone-17-pro-max
r-58846705,thegioididong,Điện thoại iPhone 17 Pro Max 256GB,Mới mua chưa đủ 1 tháng mở không lên màn hình phải gửi đi bảo hành.,1,Đã dùng khoảng 1 tháng,https://www.thegioididong.com/dtdd/iphone-17-pro-max
