review_id,sent_idx,sentence,aspects,sentiments
r-58809486,0,Dùng từ đời 11T Pro cho tới 15T Pro cảm thấy không hề hối hận chất lượng quá tốt,['general'],{'general': 'Positive'}
r-58782998,0,"Mua đúng 1 tháng, thừa nhận máy dùng ổn định, cam đẹp, pin không trâu lắm nhưng thừa sức đáp ứng 1 ngày dài làm việc nhiều, nhân viên tư vấn nhiệt tình....nói chung là rất OK.","['general', 'camera', 'battery', 'ser&acc']","{'general': 'Positive', 'camera': 'Positive', 'battery': 'Neutral', 'ser&acc': 'Positive'}"
r-58652279,0,"Sài sướng thật,năm ngoái xài Xiaomi 14t pro .năm nay lên đời vẫn sướng.",['general'],{'general': 'Positive'}
r-58871648,0,"Máy ngon, mượt. Lần đầu dùng xiaomi không nghĩ máy được như vậy. Hy vọng máy bền xài được 4 hay 5 năm","['general', 'performance', 'battery']","{'general': 'Positive', 'performance': 'Positive', 'battery': 'Neutral'}"
r-58866003,0,Máy quá tốt tôi đang dùng Ss qua mà máy dùng rất là hay nhân viên hỗ trợ nhiệt tình sẽ ủng hộ sau này,"['general', 'ser&acc']","{'general': 'Positive', 'ser&acc': 'Positive'}"
r-58862708,0,Máy mới mua 2 ngày mà tuột pin quá.,['battery'],{'battery': 'Negative'}
r-58862344,0,Máy sài ổn... nhưng lúc sạc đt cục sạc bị nóng lên vậy...,"['general', 'battery']","{'general': 'Positive', 'battery': 'Negative'}"
r-58856972,0,Máy để qua đêm sao tuột tầm 15% pin,['battery'],{'battery': 'Negative'}
r-58849301,0,Tôi đứng hon 1 tháng rồi. Nhìn chung là máy rất ổn. Tuy nhiên tôi nhận thấy mấy bát wifi và phát wifi hoi kem. Tình năng điều khiển mi không sử dụng đc.,"['general', 'features']","{'general': 'Positive', 'features': 'Negative'}"
r-58847352,0,"Mẹ ơi đúng ngon luôn,hàng xiaomi mà trên 10 củ nó vẫn là cái gì đó quá đẳng cấp",['general'],{'general': 'Positive'}
r-58834757,0,Đt sài rất tốt mạnh mượt,"['performance', 'general']","{'performance': 'Positive', 'general': 'Positive'}"
r-58797951,0,Quá Vip.chơi game bao ko nóng máy luôn....ngon,['performance'],{'performance': 'Positive'}
r-58780250,0,"Pin tụt nhanh, loa rè.","['battery', 'features']","{'battery': 'Negative', 'features': 'Negative'}"
r-58659174,0,"Máy mượt lắm nha mọi người,ok luôn","['performance', 'general']","{'performance': 'Positive', 'general': 'Positive'}"
r-58874760,0,"Pin trâu, sử dụng nhìu h liền ko nóng máy, mượt","['battery', 'performance']","{'battery': 'Positive', 'performance': 'Positive'}"
r-58861106,0,"Thật sự rất bực mình về cách bảo hành sản phẩm của thế giới di động. Mua ip 17 prm ngày 31/10/2025, về mới dùng 3 ngày thì khi cập nhật phần mềm bị treo táo, không mở nguồn lại được. Đem ra hãng đến hôm nay hơn 10 ngày vẫn không có câu trả lời lỗi từ đâu. Trong khi nếu khách làm rơi hay bể hư thì không nói, lỗi phần mềm rõ ràng từ bên sản xuất và APPLE nhưng vẫn ngâm máy khách hơn 10 ngày, không đổi máy mới cho khách. Các nơi khác như Cellphones hay cửa hàng tư nhân máy lỗi vậy đã đổi liền cho khách trong ngày, một hệ thống lớn mà cách bảo hành sản phẩm quá chậm và tệ. Trong khi ai bỏ ra mấy chục triệu mua máy mới sài bị lỗi vậy mà không tức. Khác gì đem khách hàng ra test dùm máy cho APPLE Có lẽ đây là lần cuối mua hàng tại thế giới di động","['ser&acc', 'general']","{'ser&acc': 'Negative', 'general': 'Negative'}"
r-58848291,0,Chính sách bảo hành lỗi 1/1 cực tệ với nhiều lí do vô lí . Trong tháng 1 đỗi 1 mà bắt khách hàng chịu lỗ 20% mới cho đổi.... tạm biệt không bao giờ quay lại,['ser&acc'],{'ser&acc': 'Negative'}
r-58847649,0,"Mình mua máy 17 prm mà sao máy lại bản ZP/A , sao ko phải là bản VN/A",['others'],{'others': 'Negative'}
r-58847469,0,Chào ạ. Mình mua máy được 5 ngày thì phát hiện Loa bị rè. Trường hợp này máy có được 1 đổi 1 không ạ. Cảm ơn,"['features', 'ser&acc']","{'features': 'Negative', 'ser&acc': 'Neutral'}"
r-58846705,0,Mới mua chưa đủ 1 tháng mở không lên màn hình phải gửi đi bảo hành.,"['screen', 'ser&acc']","{'screen': 'Negative', 'ser&acc': 'Negative'}"
r-58800505,0,"sản phẩm dùng tốt, màu sắc đẹp","['general', 'screen']","{'general': 'Positive', 'screen': 'Positive'}"
r-58773984,0,Bao g có hàng 17prm 256g màu bạc vậy ạ,['others'],{'others': 'Neutral'}
r-58763147,0,"Đã nhận được hàng, dùng mấy tuần rồi rất tuyệt. Màu sắc đẹp, lấp lánh bùm chíu long lanh","['general', 'screen']","{'general': 'Positive', 'screen': 'Positive'}"
r-58713787,0,Cũng tốt chưa thấy lỗi vặt,['general'],{'general': 'Positive'}
r-58704280,0,Không cần bàn về chất lượng vì quá tốt,['general'],{'general': 'Positive'}
r-58701476,0,"Mua 1 em Deep Blue 256GB mua từ 19/9/2025 . 1 em Silver 256GB mua 6/10/2025 trải nghiệm cực kỳ tốt, pin cực kỳ trâu , tiếc là chủ nhật ngày 12/10/2025 thì thằng bạn ra uống bia , mình đi rửa bát nó tháo cả cái ốp 1 củ 4 của mình ra và làm rơi em màu Deep Blue và bị móp mất . Cái kết có hậu lại được đổi 1 em màu Silver mới V . Thế là có 2 em Silver rồi","['storage', 'battery', 'general']","{'storage': 'Positive', 'battery': 'Positive', 'general': 'Positive'}"
r-58690678,0,mua đc 10 ngày pin tụt nhanh tắt nguồn mở lên mất 34% đem ra nhân viên bảo do hdh mới .vài ngày sau đang xài bị tắt nguồn lỗi panic full và reset couter đem ra kiu gửi hàng đợi 15 ngày gửi máy .bỏ ra gần 40tr trong time còn đổi trả mà gửi hãng thẩm định .đó giờ tin tưởng mua rất nhiều sp bên này mà từ nay thì k bao giờ mua nữa,"['battery', 'general', 'ser&acc']","{'battery': 'Negative', 'general': 'Negative', 'ser&acc': 'Negative'}"
r-58682482,0,"Trên web để tặng phiếu mua hàng loa tai nghe trị giá 500k vậy mà ra nhân viên báo phải mua hoá đơn trên 3tr mới sử dụng được , từ đầu sao ko để trên web rõ ràng đi làm ăn lom com","['ser&acc', 'others']","{'ser&acc': 'Negative', 'others': 'Negative'}"
r-58651189,0,"Mua ở tgdd chủ yếu vì tin tưởng thương hiệu, uy tín, chính hãng, lười tìm hiểu nên mua sự yên tâm ở đây, giá bán đúng niêm yết ko bia kèm lạc, từ lúc đập hộp ra dùng đến bây giờ khá ok, máy mượt, rất tốt","['price', 'general', 'performance']","{'price': 'Positive', 'general': 'Positive', 'performance': 'Positive'}"
r-58873513,0,"ZPA bao gồm cả Việt Nam rồi, mấy bố cứ đòi VNA Apple nó bỏ VNA lâu rồi",['others'],{'others': 'Neutral'}
r-58864478,0,Mua máy sao lại không phải VNA mà lại là ZPA. Khá nhiều lần mua ở tgdd rồi nên tin tưởng không kiểm tra. Mua hồi chiều xong tối về cài lại máy mới thấy. Mà khi mua cũng không thấy nhân viên bên cửa hàng báo gì luôn,"['ser&acc', 'general']","{'ser&acc': 'Negative', 'general': 'Negative'}"
r-58786742,0,"có vẻ bên tgdd không thích những người thu cũ đổi mới hay sao ấy , năm ngoái đi đổi hỏi chán chê máy mới đc mời ngồi như kiểu mình không đổi thì sợ nó bẩn hay hỏng ghế ấy , năm nay thì không đc mời ngồi luôn đứng chán chê xong không thống nhất được giá cả thế là về luôn , mình đi nhiều cửa hàng tgdd rồi có đúng cái cửa hàng gần nhà như này đây không phải nhân viên tgdd tôi thấy nhiều năm qua","['ser&acc', 'general']","{'ser&acc': 'Negative', 'general': 'Negative'}"
r-58781312,0,Nhân viên nhiệt tình quá,['ser&acc'],{'ser&acc': 'Positive'}
r-58772498,0,Máy ổn. Mà nhân viên tệ mình bị quên mật khẩu nhờ của hàng hổ trợ. lên nhân viên ko thèm coi kỹ đứng luôn ngoài cửa bảo phải đem lên hãng 1015 ngày. Không nhiệt tình như lúc mua tức quá cầm về luôn. trong khi máy mới lấy 2 ngày trước chưa sạc luôn. Ghét quá đem qua nhờ bên fpt họ kêu mua bên tgdd mà họ ko hỗ trợ anh hả thôi để em lại cho xin cái imei của máy cái chạy lại 1 tiếng là xong. còn nhiệt tình hỗ trợ nữa. Chắc lần cuối mua ở tgdd,"['general', 'ser&acc']","{'general': 'Negative', 'ser&acc': 'Negative'}"
r-58682498,0,"Không phải hàng VNA. Tuy máy chạy mượt nhưng hơi thất vọng. Nhân viên tư vấn không rõ, tin tưởng Thegioididong nên không để ý đay là hàng ZPA","['performance', 'ser&acc', 'general']","{'performance': 'Positive', 'ser&acc': 'Negative', 'general': 'Negative'}"
r-58639868,0,"Sản phẩm pro năm ny mượt, pin tốtCó đều cầm nắm chưa thật sự thoả máiNhưng nói chung đây là sp tốt","['performance', 'battery', 'design', 'general']","{'performance': 'Positive', 'battery': 'Positive', 'design': 'Negative', 'general': 'Positive'}"
r-58637627,0,"Anh chị quản lý chu đáo, anh Vỹ chi nhánh tgdđ Hai Bà Trưng tư vấn nhiệt tình dễ thương, sẽ ủng hộ tiếp cho những lần tới, em cảm ơn anh chị rất nhiều.","['ser&acc', 'general']","{'ser&acc': 'Positive', 'general': 'Positive'}"
