review_id,text
0,"điện thoải ổn. facelock cực nhanh, vân tay ôk , màn hình lớn, pin trâu liên quân , zalo, youtube một ngày mất khoảng 45 tuy chỉ chip 439 nhưng rất mượt. đa nhiệm khá ổn"
1,"mình mới mua vivo91c. tải ứng dụng ,games nhanh. có cái không hài lòng là cài hình nền khóa màn hình không được. hay tại mình chưa biết hết chức năng của nó. tư vấn viên nhiệt tình"
2,"xấu đẹp gì ko biết nhưng rất ưng tgdđ phục vụ rất tuyệt vời, mua ở tgdđ mòn đít và sẽ mua dài dài ủng hộ tgdđ"
3,màn hình hơi lác khi chơi game. game nặng thì mình chưa chơi. nhưng mà ở dưới có 2 bên loa ngoài sao nó dùng có 1 bên vậy. cho mình hỏi máy các bạn cũng vậy hả hay máy mình bị lỗi
4,"nói chung máy đẹp với màn amoled, ổn trong tầm giá,hơi tiếc là thời lượng pin k cao như quảng cáo"
5,"đt có 3 lỗi 1 là chế dô bỏ túi, 2 là ánh sáng điện thoại, 3 là nhấp đúp vào màn hình thì ko nhạy cho lắm, còn lại thì rất tốt"
6,thật tuyệt máy qua mượt túi thích như thế giới di động có chỗ giá khác túi không hiểu đánh giá 5sao cho thế giới di động phương phú châu 5sao nhân viên ok
7,"sản phẩm tốt, pin sài cả ngày chưa hết, chơi game lướt web rất mượt, chụp hình đẹp, cầm vừa tay. rất đáng đồng tiền"
8,"mua đc 1 tuần và đt sài khá tốt.. giá tầm trung mà v là ok lắm rồi. pin cực kì mạnh. điểm yếu là cam trc thôi chứ cam sau đẹp lắm nha. mọi người sài kĩ một tí thì máy tốt lắm, chứ máy gần 4tr mà lên đây chê này chê nọ là sao?? v là tốt lắm rồi"
9,pin nhanh hết vân tay cũng chưa đk nhạy nhân vien tgdd tư vấn nhiệt tình dễ thương 5 sao về phong cách bán hàng
10,mới sài để cặp đã nứt màn không lên nứt nên k có bảo hành thay màn gần bằng máy mới chán
11,"máy thiết kế quá đẹp ,dùng dk mấy hôm r thấy máy vẫn ổn ,tiếc là pin tụt quá nhanh ,pin sạc thì nhanh nóng"
12,nâng cấp nên phiên bản mới pin sụt nhanh .nghĩ mà chán.... ................
13,đang dùng 1 tháng ok. sang tháng thư 2 bắt đau lỗi. chán quá. săp nguồn chết k lên dc. lại còn cứ kêu tắt tình ắng chế tài nghe j ý
14,"màn hình sắc nét, pin trâu, chíp khoẻ, hình thức máy đẹp. vivo s1 pro quá tuyệt vời"
15,"dùng hơn 2 tuần cảm giác mọi thứ ok. chỉ có sóng sánh hơi kém.hay mất sóng. có cách nào khắc phục ko qtv, mong phản hồi"
16,"mình mua chưa đc 1 tuần mà tình trạng pin còn 98 thì có đổi lại đc hk.. vs lại nhiều khi bị đứng máy, thấy nản quá"
17,vừa mua xong và chỉ muốn trả lại máy ngay vì camera quá tệ cả camera trước lẫn sau khuyên ai chụp ảnh nhiều như mình thì k nên lấy con này
18,may mới mua được 1 tháng. pin ổn. chụp hình xấu. cái viền máy mới đây bị tróc sơn rồi. quá thất vọng
19,bị các app ngân hàng chặn đăng nhập vân tay. k đáng giá 27tr. mua về chip đã yếu giờ lại bị chặn ngay chức năng vân tay trong màn hình.
20,mọi thứ ok.mình thấy pin trâu chứ có sao đâu.mua đc 2 tuần rồi chỉ có cảm biến vân tay ko nhạy như mong đợi thôi.
21,máy đã được nâng cấp bản cập nhật và sửa lỗi bluetooth đã nghe nhạc qua bluetooth ngon lành
22,ma y cu ng xa i ta m ô n. ma n hi nh nó ko đươ c nhay nhiê u lu c pha i bâ m va i lâ n mơ i đươ c.
23,"máy mượt , dùng tốt , pin ok chụp hình đẹp .. mới mua về nên cần thời gian dùng tiếp"
24,không biết mn sử dụng như nào chứ mình thấy máy ok lắm mà nên mình cho 5 sao chỉ kém ở phần pin hơi thấp tất cả đều ok
25,máy quá kém chơi game thì giật giật máy mau nóng quá không hợp với giá 13 triệu đó giờ xài oppo không giờ mua samsung kg dám mua cái thứ 2....quá tệ
26,"khá ngon trong tầm giá, màn hình lớn chơi game xem phim ngon, chip khá mạnh chỉ hơi ấm tí"
27,"cho em hỏi là máy em, mua được 1 tuần mà máy lâu lâu em nghe cái cốc, như là bị lỏng gì ở trong vậy, như vậy có vấn đề j k anh"
28,"sau vài ngày sd sp... thấy đt cx tạm ổn. nếu vừa xài vừa xạc thì cảm ứq sẽ bị đơ, pin tuột nhanh. vân tay xài cx khá ổn..."
29,hàng sài tạm thì được không mượt mà lắm . vi xử lý kém. nếu chơi game lien quan thì yếu
30,"sa n phâ m tô t, nhân viên nhiê t ti nh tơ i tâ n mi nh ra vê , co điê u pin không như mi nh mong đơ i mă c du không ta c vu gi nhiê u, 32gb bô nhơ thâ t sư kho đu vơ i mi nh mă c du mi nh không chư a gi nhiê u. no i chung mo i thư kha c đê u ok"
31,sản phẩm tốt trong tầm giá nhưng đôi khi máy hơi bị giật lác không được mượt mà lắm
32,"máy trong tầm giá này thì bth vì được cái pin nó trâu. đang dùng ngon lành tự nhiên sập nguồn, bị đơ,bấm mở nguồn lại ko đc phải chờ đến 10p sau mới mở nguồn lại. cv của mình toàn trên đth ko thôi mà bị vậy đang có cv thì tự nhiên đơ rồi cái rụp sập nguồn muốn đập lắm lun á. đang có ý định đổi qua máy khác. không biết đc không"
33,"quá ngon trong tầm giá, lần đầu dùng smartphone mà không phải đi đâu cũng kè kè cục xạc, giải trí căn bản pin 2 ngày."
34,"mình mua 3 ngày về xài thấy rất tốt. do công việc nên hầu như xài suốt ngày, 4g mình bật 24 24 nhưng pin xài chỉ 70 6 giờ sáng đến 20 giờ . trong khi những dt khác mình xài phải sạt 2 lần. về tất cả chức năng còn lại mình thấy rất mượt, mình rất hài lòng về sản phẩm. máy chạy không bị nóng. mình sẽ mua thêm sản phẩm cho gia đình xài."
35,"mình thấy các bạn cứ chê. mình thấy máy dùng ok mà. ko bị lag , fb , tiktok , coi phim , loa đều ok cả. mình dùng dt để quay phim , chụp ảnh , bán hàng online thôi chứ k game gủng gì. dùng messeger , rep ib ko bị đơ là sung sướng, nghe gọi loa to rõ ràng.nhất là khoản thu cũ đổi mới còn hỗ trợ trả góp o nữa mình đổi note8 lấy máy này . lo note8 nhỏ , máy dùng hơn 2 năm dãi nắng dầm mưa cùng mình rồi nên giờ cũng hay đơ nên dạo này hơi stress. lăn tăn mãi chưa đổi vì bỏ ra nhiều tiền để mua máy mới quá tiếc. ko nghĩ lại đơn giản đến thế luôn. đưa máy cũ đến , cầm máy mới về. bắt đầu từ tháng sau mỗi tháng thanh toán "
35," đơn giản đến thế luôn. đưa máy cũ đến , cầm máy mới về. bắt đầu từ tháng sau mỗi tháng thanh toán 1tr3 trong vòng 9 tháng thích bạn nhân viên tư vấn , nhiệt tình cực kỳ"
36,camera trước khi khởi động phát ra âm thanh rất khó chịu. không giống bth mà kêu rè rè kiểu gì ấy
37,"mình mới mua máy hơn tuần dùng rất là ok luôn,nhân viên tgdđ thì nhiệt tình đáng yêu.. nói chung là tuyệt với"
38,sản phẩm khá tốt trong tầm giá nhưng sao sạc pin nó nóng thế mặc dù tôi đã tắt ánh sáng và mạng đi và xoá các tác vụ trang nhưng nó vẫn thế
39,"máy đẹp,chạy mượt mà,pin sài ổn,sạc 3 tiếng đầy pin,giá cả hợp lý,vì mình có mua dung lượng icloud nên 32gb sài củng tạm!"
40,"máy lag, không nhúc nhích được, tgdd thì không cho đổi trả. đã mua rất nhiều ở tgdd và đây là lần cuối cùng. thề tẩy chay tgdd"
41,pin 5000 nhưng dùng trong 1 ngày anh nhân viên cute cam chụp đẹp nhưng xem vd trên youtube chỉ 720p là căng
42,"pin trâu, thích nhất phần chụp hình ... ok trọn gói, nhân viên phục vụ nhiệt tình ..."
43,"màn hình xấu nó ngà ngà xấu hơn cái màn hình note 6 pro đang xài , camera lồi quá mất thẩm mỹ ...."
44,đã mua sản phẩm iphone 7plus 128g tại tgdđ và cảm thấy ok. lúc mới mua giá tương đối cao. giờ giá đã tốt hơn nhiều. minh se tiếp tục mua sản phẩm của apple trong thời gian tới.
45,hiện tại dùng thấy rất ổn. camera ok. cấu hình tốt. pin trâu. máy mới mua nên dùng khá ổn
46,pin trâu loa to thích nhất dong ss . ko bao giờ là thất vọng dòng ss .đặc biệt là mua ở tgdd mấy anh chị nhân viên tư vấn rất nhiệt tình .mk sẽ ủng hộ dài dài
47,"pin sạc lâu quá. mình cắm sạc từ lúc 6h mà đến 9h20 mới được 80 . độ sáng màn hình không được đều, chỉnh xuống 50 thì quá tối so với các dòng máy khác, xuống 20 thì siêu tối luôn, cứ phải để độ sáng trên 70 mới rõ ràng được nhưng rất hao pin. máy cũng mượt chơi free fire ok, pugb hơi giật tí lúc đầu nhưng không sao. trong tầm giá thì chiếc này quá tốt."
48,"tại sao không gửi đánh giá được vậy ? đt không xứng với giá tiền. cam tệ, chụp bị vỡ, không nét, chụp đêm rất thảm hại. một trời một vực với quảng cáo. pin tụt rất nhanh, sd ít nhưng chưa được một ngày. loa không hay và nhỏ. được cái cảm biến vân tay và gương mặt khá nhạy. chắc còn mới nên vậy. nói chung là nên mua dt khác với giá 7tr5. thiết kế còn xấu hơn nova 3i nữa. nhận được tiền học bổng là phi đi mua dt liền mà mua trúng cái dt chán quá. thất vọng tràn trề."
49,mình mua cũng đc gần 2 tuần nhưng đang chơi game hoặc xem tik tok thì wf cứ bị ao r xong kết nối lại rất nhiều lầm
50,"mua hôm 18 1. máy tốt, mượt. bin bền. cam tạm đc. nói chung rất ổn trong tầm giá. nhân viên chu đáo nhiệt tình."
51,mik mới mua máy được 1 tuần.mình để qua đêm thì máy hao mất 3 . máy mới mua mà pin đã vậy rồi.
52,"iphone 7 plus màu đen nhám đẹp ,máy xài rất êm. mua lúc 20 10 2017 tới nay cũng gần 7 tháng rồi vẫn để ios 10.2 xài mượt , camera chụp hình đẹp ,máy mượt mà, nói chung là quyết định đúng đắn khi mua máy này !!"
53,"cảm ứng vân tay k nhạy lắm, xem phim cũng chẳng tràn hình, sài thì tạm đc, k được như mong đợi..."
54,"sử dụng một tuần, máy màn hình đẹp xem phim nghe nhạc rất tốt.chơi game nặng như liên quân pubg rất mượt nhưng chơi khoảng một tiếng máy nóng lên là bị giật lag. pin 4000 nhưng thật tế ko trâu vì màn hình lớn độ phân giải cao nên tuột pin khá nhanh.chụp ảnh được màu sắc trung thực rõ nét. trong tầm giá 5tr con này là tốt nhất"
55,tôi mua được 2 tháng .bây giờ dùng bị đơ máy.thao tác phải thật chậm mới dc .có cách giải quyết k qtv
56,wifi của điện thoại không được tốt cho lắm mới đầu tưởng sp lỗi đi đổi lại nhưng vẫn như vậy. được cái tgdd phục vụ rất tốt rất hài lòng
57,may ngon rẻ chụp nét và chơi game ít nóng mình dù đồ họa cao nhưng m ngon hơn samsung
58,video màu sắc nhợt nhạt lắm. nhưng chuyển từ bé màn hình lên full màn trong youtube thì video lại nhảy màu sắc sống động hơn. chỉ 1s mong sớm sửa lỗi
59,"nhanh hao pin, không làm gì cũng hao, làm sao để hiển thị thông báo trên màn hình khoá"
60,sau cảm trước chụp ảnh thấy mờ và nhạt quá mắc dù điều kiện đủ sáng.cam sau thì thấy tâm ổn
61,mi nh qua thâ t vo ng vê sam sung.du ng tha ng 3 nga y ho ng mi ch thu mang đê n tt ba o ha nh sư a la i pha i chơ 2 nga y mơ i lâ y dk.mich thu ma chưa co nư a thi cu ng go i la ttbh sam sung nư a chư .vân tay thi chưa bao giơ mơ dk 1 lâ n
62,tất cả đều ok nhưng sóng hơi yếu ở ngay cột sóng mà có được 2 cột sóng thôi mong có bản cập nhật chỗ này để khắc phục được
