review_id,text
0,Điện thoại Xiaomi 15T Pro 5G 12GB/256GB - Dùng từ đời 11T Pro cho tới 15T Pro cảm thấy không hề hối hận chất lượng quá tốt
1,"Điện thoại Xiaomi 15T Pro 5G 12GB/256GB - Mua đúng 1 tháng, thừa nhận máy dùng ổn định, cam đẹp, pin không trâu lắm nhưng thừa sức đáp ứng 1 ngày dài làm việc nhiều, nhân viên tư vấn nhiệt tình....nói chung là rất OK."
2,"Điện thoại Xiaomi 15T Pro 5G 12GB/256GB - Sài sướng thật,năm ngoái xài Xiaomi 14t pro .năm nay lên đời vẫn sướng."
3,"Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy ngon, mượt. Lần đầu dùng xiaomi không nghĩ máy được như vậy. Hy vọng máy bền xài được 4 hay 5 năm"
4,Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy quá tốt tôi đang dùng Ss qua mà máy dùng rất là hay nhân viên hỗ trợ nhiệt tình sẽ ủng hộ sau này
5,Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy mới mua 2 ngày mà tuột pin quá.
6,Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy sài ổn... nhưng lúc sạc đt cục sạc bị nóng lên vậy...
7,Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy để qua đêm sao tuột tầm 15% pin
8,Điện thoại Xiaomi 15T 5G 12GB/256GB - Tôi đứng hon 1 tháng rồi. Nhìn chung là máy rất ổn. Tuy nhiên tôi nhận thấy mấy bát wifi và phát wifi hoi kem. Tình năng điều khiển mi không sử dụng đc.
9,"Điện thoại Xiaomi 15T 5G 12GB/256GB - Mẹ ơi đúng ngon luôn,hàng xiaomi mà trên 10 củ nó vẫn là cái gì đó quá đẳng cấp"
10,Điện thoại Xiaomi 15T 5G 12GB/256GB - Đt sài rất tốt mạnh mượt
11,Điện thoại Xiaomi 15T 5G 12GB/256GB - Quá Vip.chơi game bao ko nóng máy luôn....ngon
12,"Điện thoại Xiaomi 15T 5G 12GB/256GB - Pin tụt nhanh, loa rè."
13,"Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy mượt lắm nha mọi người,ok luôn"
14,"Điện thoại iPhone 17 Pro Max 256GB - Pin trâu, sử dụng nhìu h liền ko nóng máy, mượt"
15,"Điện thoại iPhone 17 Pro Max 256GB - Thật sự rất bực mình về cách bảo hành sản phẩm của thế giới di động. Mua ip 17 prm ngày 31/10/2025, về mới dùng 3 ngày thì khi cập nhật phần mềm bị treo táo, không mở nguồn lại được. Đem ra hãng đến hôm nay hơn 10 ngày vẫn không có câu trả lời lỗi từ đâu. Trong khi nếu khách làm rơi hay bể hư thì không nói, lỗi phần mềm rõ ràng từ bên sản xuất và APPLE nhưng vẫn ngâm máy khách hơn 10 ngày, không đổi máy mới cho khách. Các nơi khác như Cellphones hay cửa hàng tư nhân máy lỗi vậy đã đổi liền cho khách trong ngày, một hệ thống lớn mà cách bảo hành sản phẩm quá chậm và tệ. Trong khi ai bỏ ra mấy chục triệu mua máy mới sài bị lỗi vậy mà không tức. Khác gì đem khách hàng ra test dùm máy cho APPLE Có lẽ đây là lần cuối mua hàng tại thế giới di động"
16,Điện thoại iPhone 17 Pro Max 256GB - Chính sách bảo hành lỗi 1/1 cực tệ với nhiều lí do vô lí . Trong tháng 1 đỗi 1 mà bắt khách hàng chịu lỗ 20% mới cho đổi.... tạm biệt không bao giờ quay lại
17,"Điện thoại iPhone 17 Pro Max 256GB - Mình mua máy 17 prm mà sao máy lại bản ZP/A , sao ko phải là bản VN/A"
18,Điện thoại iPhone 17 Pro Max 256GB - Chào ạ. Mình mua máy được 5 ngày thì phát hiện Loa bị rè. Trường hợp này máy có được 1 đổi 1 không ạ. Cảm ơn
19,Điện thoại iPhone 17 Pro Max 256GB - Mới mua chưa đủ 1 tháng mở không lên màn hình phải gửi đi bảo hành.
20,"Điện thoại iPhone 17 Pro Max 256GB - sản phẩm dùng tốt, màu sắc đẹp"
21,Điện thoại iPhone 17 Pro Max 256GB - Bao g có hàng 17prm 256g màu bạc vậy ạ
22,"Điện thoại iPhone 17 Pro Max 256GB - Đã nhận được hàng, dùng mấy tuần rồi rất tuyệt. Màu sắc đẹp, lấp lánh bùm chíu long lanh"
23,Điện thoại iPhone 17 Pro Max 256GB - Cũng tốt chưa thấy lỗi vặt
24,Điện thoại iPhone 17 Pro Max 256GB - Không cần bàn về chất lượng vì quá tốt
25,"Điện thoại iPhone 17 Pro Max 256GB - Mua 1 em Deep Blue 256GB mua từ 19/9/2025 . 1 em Silver 256GB mua 6/10/2025 trải nghiệm cực kỳ tốt, pin cực kỳ trâu , tiếc là chủ nhật ngày 12/10/2025 thì thằng bạn ra uống bia , mình đi rửa bát nó tháo cả cái ốp 1 củ 4 của mình ra và làm rơi em màu Deep Blue và bị móp mất . Cái kết có hậu lại được đổi 1 em màu Silver mới V . Thế là có 2 em Silver rồi"
26,Điện thoại iPhone 17 Pro Max 256GB - mua đc 10 ngày pin tụt nhanh tắt nguồn mở lên mất 34% đem ra nhân viên bảo do hdh mới .vài ngày sau đang xài bị tắt nguồn lỗi panic full và reset couter đem ra kiu gửi hàng đợi 15 ngày gửi máy .bỏ ra gần 40tr trong time còn đổi trả mà gửi hãng thẩm định .đó giờ tin tưởng mua rất nhiều sp bên này mà từ nay thì k bao giờ mua nữa
