review_id,sent_idx,sentence,aspects,sentiments
0,0,Điện thoại Xiaomi 15T Pro 5G 12GB/256GB - Dùng từ đời 11T Pro cho tới 15T Pro cảm thấy không hề hối hận chất lượng quá tốt,['general'],{'general': 'Positive'}
1,0,"Điện thoại Xiaomi 15T Pro 5G 12GB/256GB - Mua đúng 1 tháng, thừa nhận máy dùng ổn định, cam đẹp, pin không trâu lắm nhưng thừa sức đáp ứng 1 ngày dài làm việc nhiều, nhân viên tư vấn nhiệt tình....nói chung là rất OK.","['general', 'camera', 'battery', 'ser&acc']","{'general': 'Positive', 'camera': 'Positive', 'battery': 'Neutral', 'ser&acc': 'Positive'}"
2,0,"Điện thoại Xiaomi 15T Pro 5G 12GB/256GB - Sài sướng thật,năm ngoái xài Xiaomi 14t pro .năm nay lên đời vẫn sướng.",['general'],{'general': 'Positive'}
3,0,"Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy ngon, mượt. Lần đầu dùng xiaomi không nghĩ máy được như vậy. Hy vọng máy bền xài được 4 hay 5 năm","['performance', 'general', 'battery']","{'performance': 'Positive', 'general': 'Positive', 'battery': 'Neutral'}"
4,0,Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy quá tốt tôi đang dùng Ss qua mà máy dùng rất là hay nhân viên hỗ trợ nhiệt tình sẽ ủng hộ sau này,"['general', 'ser&acc', 'performance', 'storage']","{'general': 'Positive', 'ser&acc': 'Positive', 'performance': 'Positive', 'storage': 'Positive'}"
5,0,Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy mới mua 2 ngày mà tuột pin quá.,['battery'],{'battery': 'Negative'}
6,0,Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy sài ổn... nhưng lúc sạc đt cục sạc bị nóng lên vậy...,"['performance', 'battery']","{'performance': 'Positive', 'battery': 'Negative'}"
7,0,Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy để qua đêm sao tuột tầm 15% pin,['battery'],{'battery': 'Negative'}
8,0,Điện thoại Xiaomi 15T 5G 12GB/256GB - Tôi đứng hon 1 tháng rồi. Nhìn chung là máy rất ổn. Tuy nhiên tôi nhận thấy mấy bát wifi và phát wifi hoi kem. Tình năng điều khiển mi không sử dụng đc.,"['general', 'features']","{'general': 'Positive', 'features': 'Negative'}"
9,0,"Điện thoại Xiaomi 15T 5G 12GB/256GB - Mẹ ơi đúng ngon luôn,hàng xiaomi mà trên 10 củ nó vẫn là cái gì đó quá đẳng cấp",['general'],{'general': 'Positive'}
10,0,Điện thoại Xiaomi 15T 5G 12GB/256GB - Đt sài rất tốt mạnh mượt,"['general', 'performance']","{'general': 'Positive', 'performance': 'Positive'}"
11,0,Điện thoại Xiaomi 15T 5G 12GB/256GB - Quá Vip.chơi game bao ko nóng máy luôn....ngon,"['performance', 'storage', 'general']","{'performance': 'Positive', 'storage': 'Positive', 'general': 'Positive'}"
12,0,"Điện thoại Xiaomi 15T 5G 12GB/256GB - Pin tụt nhanh, loa rè.","['battery', 'features']","{'battery': 'Negative', 'features': 'Negative'}"
13,0,"Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy mượt lắm nha mọi người,ok luôn","['performance', 'general']","{'performance': 'Positive', 'general': 'Positive'}"
14,0,"Điện thoại iPhone 17 Pro Max 256GB - Pin trâu, sử dụng nhìu h liền ko nóng máy, mượt","['battery', 'performance']","{'battery': 'Positive', 'performance': 'Positive'}"
15,0,"Điện thoại iPhone 17 Pro Max 256GB - Thật sự rất bực mình về cách bảo hành sản phẩm của thế giới di động. Mua ip 17 prm ngày 31/10/2025, về mới dùng 3 ngày thì khi cập nhật phần mềm bị treo táo, không mở nguồn lại được. Đem ra hãng đến hôm nay hơn 10 ngày vẫn không có câu trả lời lỗi từ đâu. Trong khi nếu khách làm rơi hay bể hư thì không nói, lỗi phần mềm rõ ràng từ bên sản xuất và APPLE nhưng vẫn ngâm máy khách hơn 10 ngày, không đổi máy mới cho khách. Các nơi khác như Cellphones hay cửa hàng tư nhân máy lỗi vậy đã đổi liền cho khách trong ngày, một hệ thống lớn mà cách bảo hành sản phẩm quá chậm và tệ. Trong khi ai bỏ ra mấy chục triệu mua máy mới sài bị lỗi vậy mà không tức. Khác gì đem khách hàng ra test dùm máy cho APPLE Có lẽ đây là lần cuối mua hàng tại thế giới di động","['ser&acc', 'general']","{'ser&acc': 'Negative', 'general': 'Negative'}"
16,0,Điện thoại iPhone 17 Pro Max 256GB - Chính sách bảo hành lỗi 1/1 cực tệ với nhiều lí do vô lí . Trong tháng 1 đỗi 1 mà bắt khách hàng chịu lỗ 20% mới cho đổi.... tạm biệt không bao giờ quay lại,"['ser&acc', 'general']","{'ser&acc': 'Negative', 'general': 'Negative'}"
17,0,"Điện thoại iPhone 17 Pro Max 256GB - Mình mua máy 17 prm mà sao máy lại bản ZP/A , sao ko phải là bản VN/A",['others'],{'others': 'Negative'}
18,0,Điện thoại iPhone 17 Pro Max 256GB - Chào ạ. Mình mua máy được 5 ngày thì phát hiện Loa bị rè. Trường hợp này máy có được 1 đổi 1 không ạ. Cảm ơn,"['features', 'ser&acc']","{'features': 'Negative', 'ser&acc': 'Neutral'}"
19,0,Điện thoại iPhone 17 Pro Max 256GB - Mới mua chưa đủ 1 tháng mở không lên màn hình phải gửi đi bảo hành.,"['general', 'ser&acc']","{'general': 'Negative', 'ser&acc': 'Negative'}"
20,0,"Điện thoại iPhone 17 Pro Max 256GB - sản phẩm dùng tốt, màu sắc đẹp","['general', 'screen', 'design']","{'general': 'Positive', 'screen': 'Neutral', 'design': 'Positive'}"
21,0,Điện thoại iPhone 17 Pro Max 256GB - Bao g có hàng 17prm 256g màu bạc vậy ạ,['others'],{'others': 'Neutral'}
22,0,"Điện thoại iPhone 17 Pro Max 256GB - Đã nhận được hàng, dùng mấy tuần rồi rất tuyệt. Màu sắc đẹp, lấp lánh bùm chíu long lanh","['general', 'design']","{'general': 'Positive', 'design': 'Positive'}"
23,0,Điện thoại iPhone 17 Pro Max 256GB - Cũng tốt chưa thấy lỗi vặt,['general'],{'general': 'Positive'}
24,0,Điện thoại iPhone 17 Pro Max 256GB - Không cần bàn về chất lượng vì quá tốt,['general'],{'general': 'Positive'}
25,0,"Điện thoại iPhone 17 Pro Max 256GB - Mua 1 em Deep Blue 256GB mua từ 19/9/2025 . 1 em Silver 256GB mua 6/10/2025 trải nghiệm cực kỳ tốt, pin cực kỳ trâu , tiếc là chủ nhật ngày 12/10/2025 thì thằng bạn ra uống bia , mình đi rửa bát nó tháo cả cái ốp 1 củ 4 của mình ra và làm rơi em màu Deep Blue và bị móp mất . Cái kết có hậu lại được đổi 1 em màu Silver mới V . Thế là có 2 em Silver rồi","['battery', 'general', 'design']","{'battery': 'Positive', 'general': 'Positive', 'design': 'Negative'}"
26,0,Điện thoại iPhone 17 Pro Max 256GB - mua đc 10 ngày pin tụt nhanh tắt nguồn mở lên mất 34% đem ra nhân viên bảo do hdh mới .vài ngày sau đang xài bị tắt nguồn lỗi panic full và reset couter đem ra kiu gửi hàng đợi 15 ngày gửi máy .bỏ ra gần 40tr trong time còn đổi trả mà gửi hãng thẩm định .đó giờ tin tưởng mua rất nhiều sp bên này mà từ nay thì k bao giờ mua nữa,"['battery', 'general', 'ser&acc']","{'battery': 'Negative', 'general': 'Negative', 'ser&acc': 'Negative'}"
27,0,"Điện thoại iPhone 17 Pro Max 256GB - Trên web để tặng phiếu mua hàng loa tai nghe trị giá 500k vậy mà ra nhân viên báo phải mua hoá đơn trên 3tr mới sử dụng được , từ đầu sao ko để trên web rõ ràng đi làm ăn lom com","['ser&acc', 'others']","{'ser&acc': 'Negative', 'others': 'Negative'}"
28,0,"Điện thoại iPhone 17 Pro Max 256GB - Mua ở tgdd chủ yếu vì tin tưởng thương hiệu, uy tín, chính hãng, lười tìm hiểu nên mua sự yên tâm ở đây, giá bán đúng niêm yết ko bia kèm lạc, từ lúc đập hộp ra dùng đến bây giờ khá ok, máy mượt, rất tốt","['price', 'general', 'performance']","{'price': 'Positive', 'general': 'Positive', 'performance': 'Positive'}"
29,0,"Điện thoại iPhone 17 Pro 256GB - ZPA bao gồm cả Việt Nam rồi, mấy bố cứ đòi VNA Apple nó bỏ VNA lâu rồi",['others'],{'others': 'Neutral'}
30,0,Điện thoại iPhone 17 Pro 256GB - Mua máy sao lại không phải VNA mà lại là ZPA. Khá nhiều lần mua ở tgdd rồi nên tin tưởng không kiểm tra. Mua hồi chiều xong tối về cài lại máy mới thấy. Mà khi mua cũng không thấy nhân viên bên cửa hàng báo gì luôn,"['ser&acc', 'others']","{'ser&acc': 'Negative', 'others': 'Negative'}"
31,0,"Điện thoại iPhone 17 Pro 256GB - có vẻ bên tgdd không thích những người thu cũ đổi mới hay sao ấy , năm ngoái đi đổi hỏi chán chê máy mới đc mời ngồi như kiểu mình không đổi thì sợ nó bẩn hay hỏng ghế ấy , năm nay thì không đc mời ngồi luôn đứng chán chê xong không thống nhất được giá cả thế là về luôn , mình đi nhiều cửa hàng tgdd rồi có đúng cái cửa hàng gần nhà như này đây không phải nhân viên tgdd tôi thấy nhiều năm qua","['ser&acc', 'price', 'general']","{'ser&acc': 'Negative', 'price': 'Negative', 'general': 'Negative'}"
32,0,Điện thoại iPhone 17 Pro 256GB - Nhân viên nhiệt tình quá,['ser&acc'],{'ser&acc': 'Positive'}
33,0,Điện thoại iPhone 17 Pro 256GB - Máy ổn. Mà nhân viên tệ mình bị quên mật khẩu nhờ của hàng hổ trợ. lên nhân viên ko thèm coi kỹ đứng luôn ngoài cửa bảo phải đem lên hãng 1015 ngày. Không nhiệt tình như lúc mua tức quá cầm về luôn. trong khi máy mới lấy 2 ngày trước chưa sạc luôn. Ghét quá đem qua nhờ bên fpt họ kêu mua bên tgdd mà họ ko hỗ trợ anh hả thôi để em lại cho xin cái imei của máy cái chạy lại 1 tiếng là xong. còn nhiệt tình hỗ trợ nữa. Chắc lần cuối mua ở tgdd,"['general', 'ser&acc']","{'general': 'Negative', 'ser&acc': 'Negative'}"
34,0,"Điện thoại iPhone 17 Pro 256GB - Không phải hàng VNA. Tuy máy chạy mượt nhưng hơi thất vọng. Nhân viên tư vấn không rõ, tin tưởng Thegioididong nên không để ý đay là hàng ZPA","['performance', 'ser&acc', 'general']","{'performance': 'Positive', 'ser&acc': 'Negative', 'general': 'Negative'}"
35,0,"Điện thoại iPhone 17 Pro 256GB - Sản phẩm pro năm ny mượt, pin tốtCó đều cầm nắm chưa thật sự thoả máiNhưng nói chung đây là sp tốt","['performance', 'battery', 'design', 'general']","{'performance': 'Positive', 'battery': 'Positive', 'design': 'Negative', 'general': 'Positive'}"
36,0,"Điện thoại iPhone 17 Pro 256GB - Anh chị quản lý chu đáo, anh Vỹ chi nhánh tgdđ Hai Bà Trưng tư vấn nhiệt tình dễ thương, sẽ ủng hộ tiếp cho những lần tới, em cảm ơn anh chị rất nhiều.","['ser&acc', 'general']","{'ser&acc': 'Positive', 'general': 'Positive'}"
37,0,Điện thoại Xiaomi 15T Pro 5G 12GB/256GB - Dùng từ đời 11T Pro cho tới 15T Pro cảm thấy không hề hối hận chất lượng quá tốt,['general'],{'general': 'Positive'}
38,0,"Điện thoại Xiaomi 15T Pro 5G 12GB/256GB - Mua đúng 1 tháng, thừa nhận máy dùng ổn định, cam đẹp, pin không trâu lắm nhưng thừa sức đáp ứng 1 ngày dài làm việc nhiều, nhân viên tư vấn nhiệt tình....nói chung là rất OK.","['general', 'camera', 'battery', 'ser&acc']","{'general': 'Positive', 'camera': 'Positive', 'battery': 'Neutral', 'ser&acc': 'Positive'}"
39,0,"Điện thoại Xiaomi 15T Pro 5G 12GB/256GB - Sài sướng thật,năm ngoái xài Xiaomi 14t pro .năm nay lên đời vẫn sướng.",['general'],{'general': 'Positive'}
40,0,"Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy ngon, mượt. Lần đầu dùng xiaomi không nghĩ máy được như vậy. Hy vọng máy bền xài được 4 hay 5 năm","['performance', 'general', 'battery']","{'performance': 'Positive', 'general': 'Positive', 'battery': 'Neutral'}"
41,0,Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy quá tốt tôi đang dùng Ss qua mà máy dùng rất là hay nhân viên hỗ trợ nhiệt tình sẽ ủng hộ sau này,"['general', 'ser&acc', 'performance', 'storage']","{'general': 'Positive', 'ser&acc': 'Positive', 'performance': 'Positive', 'storage': 'Positive'}"
42,0,Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy mới mua 2 ngày mà tuột pin quá.,['battery'],{'battery': 'Negative'}
43,0,Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy sài ổn... nhưng lúc sạc đt cục sạc bị nóng lên vậy...,"['performance', 'battery']","{'performance': 'Positive', 'battery': 'Negative'}"
44,0,Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy để qua đêm sao tuột tầm 15% pin,"['battery', 'storage']","{'battery': 'Negative', 'storage': 'Neutral'}"
45,0,Điện thoại Xiaomi 15T 5G 12GB/256GB - Tôi đứng hon 1 tháng rồi. Nhìn chung là máy rất ổn. Tuy nhiên tôi nhận thấy mấy bát wifi và phát wifi hoi kem. Tình năng điều khiển mi không sử dụng đc.,"['general', 'features']","{'general': 'Positive', 'features': 'Negative'}"
46,0,"Điện thoại Xiaomi 15T 5G 12GB/256GB - Mẹ ơi đúng ngon luôn,hàng xiaomi mà trên 10 củ nó vẫn là cái gì đó quá đẳng cấp",['general'],{'general': 'Positive'}
47,0,Điện thoại Xiaomi 15T 5G 12GB/256GB - Đt sài rất tốt mạnh mượt,"['general', 'performance']","{'general': 'Positive', 'performance': 'Positive'}"
48,0,Điện thoại Xiaomi 15T 5G 12GB/256GB - Quá Vip.chơi game bao ko nóng máy luôn....ngon,"['performance', 'general']","{'performance': 'Positive', 'general': 'Positive'}"
49,0,"Điện thoại Xiaomi 15T 5G 12GB/256GB - Pin tụt nhanh, loa rè.","['battery', 'features']","{'battery': 'Negative', 'features': 'Negative'}"
50,0,"Điện thoại Xiaomi 15T 5G 12GB/256GB - Máy mượt lắm nha mọi người,ok luôn","['performance', 'general']","{'performance': 'Positive', 'general': 'Positive'}"
51,0,Điện thoại Tecno Spark Go 2 3GB/64GB - Mấy rẻ hơn so vs cau hình hãng khác mới dùng cũng thấy rất ok,"['price', 'general']","{'price': 'Positive', 'general': 'Positive'}"
52,0,"Điện thoại Tecno Spark Go 2 3GB/64GB - Khi sạc pin có đèn màu trắng phía trên bên phải, có cach nào tắt đèn này ko vậy","['battery', 'features']","{'battery': 'Neutral', 'features': 'Neutral'}"
53,0,Điện thoại Tecno Spark Go 2 3GB/64GB - Vừa mua mà hao pin quá,['battery'],{'battery': 'Negative'}
54,0,"Điện thoại Tecno Spark Go 2 3GB/64GB - Mình mua giá 1791k, giả rẻ mà màn hình đẹp. Loa kép,to rõ hay. Sạc 10W nhưng 2 tiếng là đầy, cầm nắm thoải mái, thiết kế đẹp. Hộp đủ phụ kiện, đặc biệt ốp lưng rất tốt. Game thì tốc chiến 40fps, giao tranh lag nhẹ, chơi 4 tiếng còn 30% pin. Mạng 4G nhanh, Wifi tốt. 9/10 điểm","['price', 'screen', 'features', 'battery', 'design', 'ser&acc', 'performance', 'general']","{'price': 'Positive', 'screen': 'Positive', 'features': 'Positive', 'battery': 'Positive', 'design': 'Positive', 'ser&acc': 'Positive', 'performance': 'Negative', 'general': 'Positive'}"
55,0,"Điện thoại Tecno Spark Go 2 3GB/64GB - Đt thiết kế đẹp, mỏng, pin trâu nhưng mà mạng chập chờn nhiều và lỗi vặt nhiều. Với phân khúc giá rẻ chỉ có 2tr như này thì cũng tạm ổn rồi không đòi hỏi được gì hơn","['design', 'battery', 'features', 'price', 'general']","{'design': 'Positive', 'battery': 'Positive', 'features': 'Negative', 'price': 'Positive', 'general': 'Neutral'}"
56,0,"Điện thoại iPhone 16 Pro Max 256GB - Gần tới ngày trả kết quả thẩm định máy lỗi 27/11mình thấy lâu mình hay hỏi mà cứ hẹn tới hẹn lui mãi, ngày này hôm kia hôm nọ. Xong hôm nay hỏi tiếp thì bên bộ phận bảo hành kêu chờ thêm 710 ngày nữa mới có kết quả. Ủa hẹn tới lui mãi gần tới ngày nhận kết quả luôn, xong giờ hẹn 710 ngày nữa ai chịu Vấn đề kẹt nhiều máy thẩm định ko kịp gì gì đó thì đó là chuyện của tgdd, tui không quan tâm. Máy tui mua trả tiền thẳng sòng phẳng đàng hoàng, máy hơn 30trieu xài dc mấy ngày phát hiện lỗi đem đi thẩm định thời gian 15 ngày là đã thấy không vui tí nào rồi. Cũg ráng chờ dữ lắm rồi đó. Gio hẹn thêm như vậy là quá 15 ngày thẩm định rồi. Tui không chờ được nữa đâu nhe. Phải giải quyết liền cho tui. hoàn tiền ngay lập tức.","['ser&acc', 'general']","{'ser&acc': 'Negative', 'general': 'Negative'}"
57,0,"Điện thoại iPhone 16 Pro Max 256GB - Mua ngày 25/10 thì phải. Máy mới, mà bàn phím lâu lâu thì giật giật. Có khi bấm không được luôn phải tắt nguồn lại mới được. Vào album ảnh thì chậm bấm vài ảnh xem đợi vài giây nó lại nhảy qua ảnh khác. Gần 31tr chứ k rẻ. Đề nghị kiểm tra, Dù đã đọc bình luận nhiều người đánh giá nhưng dùng iphone quen nên vẫn mua mà chán 13prm cũ dùng 4 năm còn mượt hơn.","['performance', 'price', 'general']","{'performance': 'Negative', 'price': 'Negative', 'general': 'Negative'}"
58,0,Điện thoại iPhone 16 Pro Max 256GB - Xài xịn khỏi chê luôn. Siêu thị 01 Cộng Hòa nhân viên dễ thương cực,"['general', 'ser&acc']","{'general': 'Positive', 'ser&acc': 'Positive'}"
59,0,Điện thoại iPhone 16 Pro Max 256GB - Nhân viên tư vấn nhiệt tìnhGần qua 1 năm rồi giá iphone 16pm vẫn mức duy trìMáy mạnh tuyệt,"['ser&acc', 'price', 'performance', 'general']","{'ser&acc': 'Positive', 'price': 'Neutral', 'performance': 'Positive', 'general': 'Positive'}"
