review_id,sent_idx,sentence,aspects,sentiments,sentiment_score_mean,sentiment_score_weighted
0,0,"Điện thoải ổn. Facelock cực nhanh, vân tay ôk , màn hình lớn, pin trâu ( liên quân , Zalo, YouTube ) một ngày mất khoảng 45 % ) tuy chỉ chip 439 nhưng rất mượt. Đa nhiệm khá ổn","[""['general', 'features', 'screen', 'battery', 'performance']""]","{""['general', 'features', 'screen', 'battery', 'performance']"": {'label': 'Positive', 'confidence': 0.95, 'score': 0.95}}",0.95,1.0
1,0,"Mình mới  mua vivo91c. Tải ứng dụng ,games  nhanh. Có cái không hài  lòng là  cài  hình nền  khóa màn hình không được. Hay tại mình  chưa biết hết chức năng của nó. Tư vấn  viên nhiệt tình","[""['features', 'performance', 'ser&acc']""]","{""['features', 'performance', 'ser&acc']"": {'label': 'Positive', 'confidence': 0.85, 'score': 0.85}}",0.85,1.0
2,0,"Xấu đẹp gì ko biết nhưng rất ưng TGdđ phục vụ rất tuyệt vời, mua ở TGdđ mòn đít và sẽ mua dài dài ủng hộ TGDđ","[""['ser&acc', 'general']""]","{""['ser&acc', 'general']"": {'label': 'Positive', 'confidence': 0.95, 'score': 0.95}}",0.95,1.0
3,0,Màn hình hơi lác khi chơi game. Game nặng thì mình chưa chơi. Nhưng mà ở dưới có 2 bên loa ngoài sao nó dùng có 1 bên vậy. Cho mình hỏi máy các bạn cũng vậy hả hay máy mình bị lỗi,"[""['screen', 'features', 'general']""]","{""['screen', 'features', 'general']"": {'label': 'Negative', 'confidence': 0.85, 'score': -0.85}}",-0.85,-1.0
4,0,"Nói chung máy đẹp với màn amoled, ổn trong tầm giá,hơi tiếc là thời lượng PIN k cao như quảng cáo","[""['design', 'screen', 'general', 'battery']""]","{""['design', 'screen', 'general', 'battery']"": {'label': 'Negative', 'confidence': 0.75, 'score': -0.75}}",-0.75,-1.0
5,0,"Đt có 3 lỗi: 1 là chế dô bỏ túi, 2 là ánh sáng điện thoại, 3 là nhấp đúp vào màn hình thì ko nhạy cho lắm, còn lại thì rất tốt","[""['features', 'screen', 'general']""]","{""['features', 'screen', 'general']"": {'label': 'Negative', 'confidence': 0.75, 'score': -0.75}}",-0.75,-1.0
6,0,Thật tuyệt máy qua mượt túi thích  như thế giới Di Động có chỗ giá khác túi không hiểu đánh giá 5sao cho thế giới Di Động phương Phú Châu 5sao nhân viên OK,"[""['general', 'price', 'ser&acc']""]","{""['general', 'price', 'ser&acc']"": {'label': 'Positive', 'confidence': 0.85, 'score': 0.85}}",0.85,1.0
7,0,"Sản phẩm tốt, pin sài cả ngày chưa hết, chơi game lướt web rất mượt, chụp hình đẹp, cầm vừa tay. Rất đáng đồng tiền","[""['general', 'battery', 'performance', 'camera', 'design', 'price']""]","{""['general', 'battery', 'performance', 'camera', 'design', 'price']"": {'label': 'Positive', 'confidence': 0.95, 'score': 0.95}}",0.95,1.0
8,0,"Mua đc 1 tuần và đt sài khá tốt.. Giá tầm trung mà v là ok lắm rồi. Pin cực kì mạnh. Điểm yếu là cam trc thôi chứ cam sau đẹp lắm nha. Mọi người sài kĩ một tí thì máy tốt lắm, chứ máy gần 4tr mà lên đây chê này chê nọ là sao?? V là tốt lắm rồi","[""['general', 'price', 'battery', 'camera']""]","{""['general', 'price', 'battery', 'camera']"": {'label': 'Positive', 'confidence': 0.85, 'score': 0.85}}",0.85,1.0
9,0,"Pin nhanh hết vân tay cũng chưa đk nhạy 
Nhân vien tgdd tư vấn nhiệt tình dễ thương 5 sao về phong cách bán hàng","[""['battery', 'features', 'ser&acc']""]","{""['battery', 'features', 'ser&acc']"": {'label': 'Positive', 'confidence': 0.85, 'score': 0.85}}",0.85,1.0
10,0,Mới sài để cặp đã nứt màn không lên nứt nên k có bảo hành thay màn gần bằng máy mới chán,"[""['screen', 'general', 'ser&acc']""]","{""['screen', 'general', 'ser&acc']"": {'label': 'Negative', 'confidence': 0.85, 'score': -0.85}}",-0.85,-1.0
11,0,"Máy thiết kế quá đẹp ,dùng dk mấy hôm r thấy máy vẫn ổn ,tiếc là pin tụt quá nhanh ,pin sạc thì nhanh nóng 😌","[""['design', 'general', 'battery']""]","{""['design', 'general', 'battery']"": {'label': 'Negative', 'confidence': 0.75, 'score': -0.75}}",-0.75,-1.0
