review_id,review_text,rating
0,"mới mua máy này tại thegioididong thốt nốt cảm thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khỏe sóng ổn định, giá thành vừa với túi tiền, nhân viên tư vấn nhiệt tình",5
1,pin kém còn lại miễn chê mua 8 3 2019 tình trạng pin còn 88 có ai giống tôi không,5
2,sao lúc gọi điện thoại màn hình bị chấm nhỏ nháy gần camera trước vậy lúc có lúc không,3
3,"mọi người cập nhật phần mềm lại , nó sẽ bớt tốn pin, mình đã thử rồi, mọi thứ cũng ok, nhưng vân tay ko nhạy",3
4,"mới mua sài được 1 tháng thấy pin rất trâu, sài bao mượt . nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu ko biết sao nó ko nghe được nữa.. mất rút tai nghe ra cắm vào lại thì nó mới nghe được...",5
5,"xài tốt, rất mượt, pin trâu nếu các bạn để độ sáng vừa đủ, nhân viên nhiệt tình, vui vẻ, nói chung là tầm giá này thì máy này là quá tốt rồi",5
6,mình mới xài được 7 tháng xuống 7 pin. chả hiểu máy mới kiểu gì nữa. dùng cơ bản lướt web cơ bản game ko chơi,1
7,"hôm qua ngày 23 6 2020 e ra thế giới di động mua chiếc dthoai galaxy a51 ,. lúc đầu bên cửa hàng báo giá 7.790.00đ được tặng phiếu mua hàng 250k, lúc thanh toán thì nhân viên lại thanh toán 7.990.000đ không có phiếu mua hàng , đi 20km xuống mua thoai ,tối về đến nhà nhân viên mới gọi đến có xin lỗi vì sai xót và bảo mình xuống đó nhận phiếu mua hàng 250k.... chán quá, đúng là làm mất thời gian ..",2
8,"tại sao điện thoại mới mà sạc nó nóng máy lên quá trời. t đã tắt tất cả mạng, ứng dung, game và cấm ko cho chạy nền, cũng ko vừa sạc vừa dùng mà điện thoại nóng quá trời. sạc 3 tiếng mới đầy",2
9,"lúc đầu định mua samsung vào shop nhân viên tư vấn oppo a9. thất vọng thực sự khi dùng oppo. màn hình hiển thị tối om. máy chơi game giật lang khó chịu vl. sạc thì lâu, k bao giờ dungg oppo nữa.",1
10,mọi thứ đều ngon trong tầm giá. lần đầu xài xiaomi cảm thấy rất hài lòng về chất lượng,5
11,"khá ổn trong tầm giá, cam đẹp, sạc nhanh, màn hình đẹp âm thanh hay rất phù hợp với người thích chơi game tuy nhiên màn hình hơi tối so với ngoài trời",5
12,đi thoại mượt chơi game ngon âm báo thức bật maxloa luôn nghe vẫn nhỏ nhân viên phục vụ nhiệt tình,4
13,"máy rất tốt trong tầm giá. pin trâu, màn hình đẹp, to, camera đẹp, chơi các tựa game ở cấu hình vừa phải thì ổn, chỉ có đều là cảm biến vân tay quang học trong màn hình hơi chậm, k có hỗ trợ chụp đêm nên chụp trong đêm hơi xấu. còn nv phục vụ nhiệt tình và chu đáo",5
14,"mình mua dc 1 tuần máy đang phát trực tiếp tự nhiên tắt nguồn, bắt sống wifi quá yêu, hối hận",1
15,"sản phẩm quá tuyệt vời, iphone 7plus camera đẹp, chơi game thì không sợ 1 game nào nặng cả, rất mượt, nhưng game nào có đồ họa cao chơi sẽ bị sụt pin rất nhanh, máy nóng.. nhưng không sao, iphone 7 plus tuyệt vời lắm rồi",5
16,dùng ok.. mượt k nóng.. đt có 5 6 triệu mà mở max cấu hình ròi kêu nóng nhân viên nhiệt tình..,5
17,"mới mua được 1 ngày. ck dùng j6 , còn mình dùng con này. wifi ck m lúc nào cũng 3 vạch, mà dt này thì lúc 2 vạch , lúc 1 vạch, lúc đứng luôn. k hieur vì sao nữa. dùng thấy bực mình.",3
18,dùng thì cứ đơ máy bấm mãi mới khởi động lại song nóng ran lên chán ko buồn nói kêu bảo hành phần mềm chọn đời mà dùng chưa dc đã hỏng,1
19,"lỗi phầm mềm , sạc pin ko vào , đem ra bảo trì thì cài lại máy ._. vẫn ko hết lỗi , mua quả máy 4tr100k ram 3gb về để chơi pubg lag vãi chưởng",1
20,máy dùng tốt với tầm giá khá nhanh nhạy pin trâu lần đâu tiên mua máy chưa tới 2tr mà ưng ghê luôn á mọi người nên mua,5
21,sạc pin 100 r để k 10h mà k hao nào mà s mọi người cứ kêu hao pin nhanh là s nhỉ mình thasy pin rất trâu lun,5
22,cho mình hỏi tắt quảng cáo trên điện thoại ạ . mới mua về vài hôm mà nó cứ tụ phát quảng cáo hoài ngày khi mình đã khoá màn hình cũng chạy quảng cáo . mong được phản hồi,5
23,"tất cả mọi thứ đều ổn hết màn hình đẹp, máy chạy êm, pin sạc nhanh, màu mặt lưng đẹp. nhưng chỉ tiết ở phần thiết kế, phải chi loa ngoài được đặt ở bên hông thay vì đặt ở cạnh dưới như vầy. tay cứ bị đè lên loa khi sử dụng í, cứ lo chính bản thân đè nhiều quá sẽ làm loa hư. thêm 1 cái nhỏ xíu xiu mới mua hôm qua được giảm 500.000đ, nay lên xem tuột xuống đươc giảm hẳn 1.000.000đ. tức ghê",4
24,"điện thoại thiết kế sang trọng, cameraa chụp ảnh rất tốt, pin dùng ổn định, máy dùng mượt, không bị đơ",5
25,"máy màn hình lớn , nhận diện khuôn mặt nhanh trong đk trời sáng ,cấu hình tạm ổn cho các tác vụ cơ bản , pin trâu ,...nv tgdd nhiệt tình . còn ctkm tặng tai nghe thì tgdd chưa làm tốt , ra mua máy thì chi nhánh tai nghe khg có hàng , phải đợi 10 15 ngày tgdd rút kinh nghiệm về các ctkm kiểu như vậy",5
26,pin trâu . giá rẻ. cấu hình ngon . mượt mà . máy chơi game rất tốt . nhân viên tư vấn nhiệt tình,5
27,"không nên mua, không tương xứng trong cùng phân khúc, chụp ảnh kém mờ, được mỗi pin trâu .",1
28,"cập nhật lại ổn nhưng camera xấu xấu tệ, hy vọng cập nhật lại camera tốt hơn cho bản sau",3
29,mới dùng đc tầm nửa tháng thấy khá là ok mượt chơi game mức độ mặc định cũng ok pin đc lâu sạc nhanh,5
30,"mình mua máy samsung a20s được 4 ngày rồi. nói chung máy xài ổn trong tầm giá, pin trâu nếu không chơi game thì xài được 2 đến 3 ngày còn chơi game như liên quân thì tầm 1 ngày. chụp hình đẹp, máy rất mượt. chỉ có lâu lâu cảm biến vân tay không được nhạy, ngón tay hơi ướt xíu là máy không nhận được vân tay luôn, không có ốp lưng nên xài hơi bị xót xíu mình làm trong môi trường chăn nuôi bụi cám này kia nhiều .",5
31,tại sao thì thoảng tôi mở máy thì phải đợi 5 10s thì màn hình mới lên nó làm tôi thấy khó chịu còn lại thì ok,4
32,"iphone luôn ổn định, thiết kế không có gì mới nhưng vẫn chưa lỗi thời, mình chưa được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày, bạn nào bảo pin nó yếu là do một ngày xài quá nhiều thôi, thích iphone từ lâu mỗi tội tài chính eo hẹp, đang tich góp để cuối năm rước một e zìa quê luôn.",5
33,đã mua và đag dùng rất thất vọng camera mờ hay nổi quảng cáo.pin xuống rraats nhanh. khuyên mọi người đừng mua..,1
34,lỗi lưu ảnh và viền 4 góc sáng . khá là bực. mong xiaomi việt nam sớm có cách khắc phục,1
35,"tôi nghĩ rằng nó được 4 star với 1,2tr tầm giá rẻ rách, nếu như đường truyền không chập chờn thì nó sẽ được tôi đánh giá 5 star.",4
36,"máy dùng ok, chỉ cài khóa mk, vân tay khuôn mặt rồi mà khi mở lại ko cần, vuốt là mở đc, còn lại ổn, bluetooth bình thường pin lâu, nhạc hay..",4
37,tgdd tôi không còn tin tưởng nữa rồi một hệ thống bán lẻ điện thoại lớn nhất vn tôi mới mua tại cửa hàng số 473 đường kính dương vương làm tôi quá thất vọng cảm giấc như mình bị lừa thất vọng vô cùng luôn chắc phải chuyển qua hệ thống khác thôi,1
