review_id,sent_idx,sentence,aspects,sentiments,recommendations
0,0,"điện thoải ổn. facelock cực nhanh, vân tay ôk , màn hình lớn, pin trâu liên quân , zalo, youtube một ngày mất khoảng 45 tuy chỉ chip 439 nhưng rất mượt. đa nhiệm khá ổn","['performance', 'design', 'battery', 'camera', 'storage', 'ser&acc']","{'performance': 'Positive', 'design': 'Neutral', 'battery': 'Positive', 'camera': 'Neutral', 'storage': 'Neutral', 'ser&acc': 'Positive'}","['Cải thiện hiệu suất đa nhiệm', 'Tăng cường khả năng chống sốc màn hình']"
1,0,"mình mới mua vivo91c. tải ứng dụng ,games nhanh. có cái không hài lòng là cài hình nền khóa màn hình không được. hay tại mình chưa biết hết chức năng của nó. tư vấn viên nhiệt tình","['performance', 'ser&acc']","{'performance': 'Positive', 'setup': 'Neutral', 'features': 'Neutral'}","['Thêm khả năng cài đặt hình nền khóa màn hình', 'Cải thiện hướng dẫn và chức năng của ứng dụng']"
2,0,"xấu đẹp gì ko biết nhưng rất ưng tgdđ phục vụ rất tuyệt vời, mua ở tgdđ mòn đít và sẽ mua dài dài ủng hộ tgdđ",['ser&acc'],{'ser&acc': 'Positive'},[]
3,0,màn hình hơi lác khi chơi game. game nặng thì mình chưa chơi. nhưng mà ở dưới có 2 bên loa ngoài sao nó dùng có 1 bên vậy. cho mình hỏi máy các bạn cũng vậy hả hay máy mình bị lỗi,"['screen', 'ser&acc']","{'screen': 'Negative', 'ser&acc': 'Neutral'}","['Cải thiện chất lượng hiển thị màn hình', 'Kiểm tra và sửa lỗi loa']"
4,0,"nói chung máy đẹp với màn amoled, ổn trong tầm giá,hơi tiếc là thời lượng pin k cao như quảng cáo","['screen', 'design', 'price', 'general']","{'screen': 'Positive', 'design': 'Positive', 'price': 'Positive', 'general': 'Neutral'}","['Cải thiện thời lượng pin', 'Cập nhật thông tin thời lượng pin trên thiết bị']"
5,0,"đt có 3 lỗi 1 là chế dô bỏ túi, 2 là ánh sáng điện thoại, 3 là nhấp đúp vào màn hình thì ko nhạy cho lắm, còn lại thì rất tốt","['battery', 'screen', 'features']","{'battery': 'Negative', 'screen': 'Negative', 'features': 'Neutral'}","['Sửa lỗi chế độ chống rung', 'Cải thiện độ nhạy của màn hình']"
6,0,thật tuyệt máy qua mượt túi thích như thế giới di động có chỗ giá khác túi không hiểu đánh giá 5sao cho thế giới di động phương phú châu 5sao nhân viên ok,"['performance', 'design']","{'performance': 'Positive', 'design': 'Neutral'}","['Không có phản hồi cụ thể nào trong câu đánh giá này để chuyển đổi thành các khuyến nghị. Đoạn văn mô tả một trải nghiệm tích cực với ứng dụng', 'không có yêu cầu rõ ràng hoặc vấn đề cần giải quyết. Vì vậy', 'không có khuyến nghị phù hợp để đưa ra dựa trên thông tin đã cho']"
7,0,"sản phẩm tốt, pin sài cả ngày chưa hết, chơi game lướt web rất mượt, chụp hình đẹp, cầm vừa tay. rất đáng đồng tiền","['battery', 'screen', 'performance', 'camera', 'design', 'price']","{'battery': 'Positive', 'screen': 'Positive', 'performance': 'Positive', 'camera': 'Positive', 'design': 'Positive', 'price': 'Positive'}","['Cải thiện hiệu suất pin', 'Cải thiện hiệu suất chụp hình']"
8,0,"mua đc 1 tuần và đt sài khá tốt.. giá tầm trung mà v là ok lắm rồi. pin cực kì mạnh. điểm yếu là cam trc thôi chứ cam sau đẹp lắm nha. mọi người sài kĩ một tí thì máy tốt lắm, chứ máy gần 4tr mà lên đây chê này chê nọ là sao?? v là tốt lắm rồi","['battery', 'price', 'screen', 'camera']","{'battery': 'Positive', 'price': 'Positive', 'screen': 'Neutral', 'camera': 'Positive'}","['Cải thiện chất lượng camera trước', 'Tăng cường hỗ trợ người dùng']"
9,0,pin nhanh hết vân tay cũng chưa đk nhạy nhân vien tgdd tư vấn nhiệt tình dễ thương 5 sao về phong cách bán hàng,"['battery', 'ser&acc']","{'battery': 'Positive', 'ser&acc': 'Neutral'}","['Không có phản hồi hoặc yêu cầu rõ ràng trong đánh giá này. Tuy nhiên', 'dựa trên các quy tắc đã cung cấp', 'đây là một số đề xuất có thể:', '1. Cải thiện độ nhạy của vân tay', '2. Cải thiện tốc độ xử lý pin', 'Lưu ý rằng đây chỉ là các đề xuất có thể', 'vì không có yêu cầu rõ ràng trong đánh giá']"
