review_id,sent_idx,sentence,aspects,sentiments
96,0,"Sản phẩm tốt, nhưng pin không trâu như mình nghĩ...xài cả ngày 2,3 tiếng chỉ lướt fb mà pin tuột quá mau","['general', 'battery']","{'general': 'Positive', 'battery': 'Negative'}"
1401,0,Hàng chất lượng sai rất ok cho thế giới đi đông 5 sao .Mình mua hơn 4 tháng mà thấy rất tuyệt vời thanks nhà bạn hàng số 1 Viêt Năm.,['general'],{'general': 'Positive'}
1995,0,"E mới mưa đc 2 tháng. Mà e mới cập nhật phiên bản miui mới nhất  , e sử dụng thấy nó tụt pin nhanh quá. Mún xuống lại bản cập nhật cũ thì làm sao ạ","['battery', 'features']","{'battery': 'Negative', 'features': 'Neutral'}"
1987,0,"Mới mua hôm nay giao hàng ngay hôm nay rất nhanh :)) Hàng đã sài tc r giờ sài tiếp nói chung em này quá oke rồi  . quá ok với giá tiền , thanks shop .","['price', 'general', 'ser&acc']","{'price': 'Positive', 'general': 'Positive', 'ser&acc': 'Positive'}"
859,0,Sao máy lúc nào cũng nóng vậy nhỉ mk có để treo zallo messager rồi xem Youtube mà đã lên 41 độ ui,"['performance', 'battery']","{'performance': 'Negative', 'battery': 'Neutral'}"
707,0,"Máy đẹp, mình mua màu xanh, mặt lưng nhìn rất đẹp. Màn hình to, đẹp, mình lướt FB, xem youtube đều rất mượt. Mua được trả góp 0% nữa,rất phù hợp với sinh viên nha các bạn.","['design', 'screen', 'performance', 'price']","{'design': 'Positive', 'screen': 'Positive', 'performance': 'Positive', 'price': 'Positive'}"
1263,0,"Máy tầm này tiền mà chip yếu quá , chơi game lag wifi kém,cam xấu ,mua redmi note 8 ngon hơn (máy này chắc chỉ dùng để lướt wed xem phim và học thôi,ko game đc đâu , cân nhắc trước khi mua :( )","['performance', 'features', 'camera', 'general']","{'performance': 'Negative', 'features': 'Negative', 'camera': 'Negative', 'general': 'Negative'}"
290,0,"Sản phẩm rất tốt trong tầm giá, cấu hình mạnh, pin trâu, hđh cũng rất mượt mà. Nói chung không hối hận khi mua","['general', 'performance', 'battery']","{'general': 'Positive', 'performance': 'Positive', 'battery': 'Positive'}"
1978,0,màn hình lâu lâu bị chớp một cái thì làm sao đây ad cứ bị chớp khó chịu quá khởi động lại máy r nó vẫn y như v,['screen'],{'screen': 'Negative'}
1760,0,"Tuyệt vời! Không có chỗ nào để chê cả. Camera sắc nét, pin siêu trâu, sạc quá nhanh, hiệu năng cực mạnh chiến liên quân với free fire cực sướng, màn hình cực to, dung lượng cực lớn nói chung là quá đã. Còn về bình luận không tốt về a70 thì đừng quan tâm vì sau khi cập nhật phần mềm thì sẽ khắc phục được các lỗi kỹ thuật.Bây giờ ai có ý định mua thì nên mua ngay và luôn nhé. Nhân viên TGĐ phục vụ tận tình.","['camera', 'battery', 'features', 'performance', 'screen', 'storage', 'ser&acc', 'general']","{'camera': 'Positive', 'battery': 'Positive', 'features': 'Positive', 'performance': 'Positive', 'screen': 'Positive', 'storage': 'Positive', 'ser&acc': 'Positive', 'general': 'Positive'}"
